Columbia College - Patrick AFB,www.ccis.edu,FL
Columbia College - Fort Stewart,www.ccis.edu,GA
Columbia College - Hancock Field,www.ccis.edu,NY
Columbia College - Denver,www.ccis.edu,CO
Columbia College -  Jacksonville,www.ccis.edu,FL
Columbia College - Fort Sill,www.ccis.edu,OK
Columbia College - Crystal Lake Campus,www.ccis.edu,IL
Columbia College - Mesquite,www.ccis.edu,TX
University of Oklahoma - Ft. Benning GA - AP,,GA
Columbia College - Jefferson City,www.ccis.edu,MO
Columbia College - Lake Ozark,www.ccis.edu,MO
California Aeronautical University,,CA
ECPI University - College of Nursing - Orlando,www.ecpi.edu,FL
Relay Graduate School of Education - Chicago,relay.edu/location/relay-chicago,IL
Relay Graduate School of Education - Delaware,relay.edu/location/relay-delaware,DE
Theological Seminary of the Reformed Episcopal Church,www.reseminary.edu,PA
Universidad Ana G. Mendez,agmvirtual.suagm.edu/,PR
Relay Graduate School of Education - Denver,relay.edu/location/relay-denver,CO
Relay Graduate School of Education - Nashville,relay.edu/location/relay-nashville,TN
The Santa Barbara and Ventura Colleges of Law at Ventura,www.collegesoflaw.edu,CA
J F Ingram State Technical College,www.istc.edu,AL
Ohio Medical Career College,www.omcc.edu,OH
Antioch College,antiochcollege.edu,OH
Comanche Nation College,www.cnc.cc.ok.us,OK
The Healthcare Institute,www.thehealthcareinstitute.com,TX
Keiser University - NPR,www.keiseruniversity.edu/new-port-richey/,FL
Saint Anthony College of Nursing - Sauk Valley Community College Campus,www.sacn.edu,IL
Hebrew Union College-Jewish Institute of Religion-Los Angeles,huc.edu/,CA
Baker College of Allen Park,www.baker.edu,MI
Baker College of Clinton Township,www.baker.edu,MI
Technical Education Center Osceola - St. Cloud Campus,teco.osceolaschools.net,FL
Purdue University - Purdue Polytechnic Lafayette,polytechnic.purdue.edu/lafayette,IN
Purdue University - Purdue Polytechnic Vincennes,polytechnic.purdue.edu/vincennes,IN
Purdue University - Purdue Polytechnic Columbus,polytechnic.purdue.edu/columbus,IN
Redondo Beach Beauty College,RedondoBeachBeautyCollege.com,CA
United Education Institute-UEI College San Marcos,www.uei.edu,CA
Florida Career College-Lauderdale Lakes,www.floridacareercollege.edu/,FL
Wade Gordon Hairdressing Academy-Lubbock,wadegordonacademy.com,TX
Emory University-Oxford College,www.oxford.emory.edu/,GA
Florida Career College-Boynton Beach,www.floridacareercollege.edu/,FL
Southern Regional Technical College,southernregional.edu,GA
